Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
3494.284,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3496.290,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3498.291,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3502.124,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3504.782,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3505.375,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3508.373,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3511.210,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3517.783,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3520.459,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3520.789,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3524.032,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3525.540,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3525.790,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3531.288,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3531.537,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3534.037,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3534.791,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3537.709,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3538.709,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3542.707,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3543.958,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3546.281,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3548.541,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3548.790,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3550.291,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3550.790,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3551.030,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3555.281,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3556.537,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,mild,START
3558.121,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,mild,STOP
3560.281,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3568.294,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3571.042,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3572.042,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3573.780,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3579.281,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3579.288,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3590.030,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3593.037,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,mild,START
3596.792,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,mild,STOP
3597.781,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3599.790,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3601.292,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3616.031,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3624.038,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3626.788,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3627.530,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3635.531,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3636.955,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3638.531,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3638.959,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3645.209,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3646.281,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,frontal,,,START
3647.781,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,frontal,,,STOP
3649.780,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3650.708,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3651.031,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3667.955,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3668.033,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3674.455,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3675.031,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3686.031,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,START
3686.208,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,START
3687.958,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,tailbeat,,,STOP
3690.708,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
3695.082,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Right,lateral display,,,STOP
3695.458,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,STOP
3707.706,D:/multi-terridef-record/no-pred/huy_multiterridef_id2429_nopred_20190811_cropped.mp4,14379.300,30.0,Left,lateral display,,,START
